Unnamed: 0,Unnamed: 1,Unnamed: 2,Date,Time,Lane,Speed,Length,Headway,Gap,Class,Occupancy,Vehicle Count,Headway_Mean,Headway_Mean_Hours,Q (veh/h),Speed Inverse,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,SMS,Density
,,,20240728.0,8.6,3.0,99.0,4.12,9.3,9.12,1.0,149.0,26.0,22.15384615,0.006153846,162.5,0.01010101,1.0,26.0,0.30305098,85.79414604,85.79414592,85.79414563914578,1.89406863125
,,,20240728.0,32.3,3.0,87.0,4.01,23.7,23.55,2.0,165.0,26.0,22.15384615,0.006153846,162.5,0.011494253,,,,1.894068622,,85.79414563914578,1.89406863125
,,,20240728.0,46.3,3.0,74.0,4.77,14.0,13.83,2.0,232.0,26.0,22.15384615,0.006153846,162.5,0.013513514,0.01010101,,162.5,,,85.79414563914578,1.89406863125
,,,20240728.0,54.0,3.0,88.0,4.72,7.7,7.47,2.0,193.0,26.0,22.15384615,0.006153846,162.5,0.011363636,,0.011655807,13941.54867,,,85.79414563914578,1.89406863125
,,,20240728.0,58.5,3.0,98.0,4.07,4.5,4.31,1.0,149.0,26.0,22.15384615,0.006153846,162.5,0.010204082,,,,,,85.79414563914578,1.89406863125
,,,20240728.0,108.9,2.0,83.0,4.37,98.8,98.56,1.0,189.0,26.0,22.15384615,0.006153846,162.5,0.012048193,,,,,,85.79414563914578,1.89406863125
,,,20240728.0,113.0,2.0,88.0,3.98,4.1,3.91,2.0,162.0,26.0,22.15384615,0.006153846,162.5,0.011363636,,,1.894068625,,,85.79414563914578,1.89406863125
,,,20240728.0,113.7,2.0,86.0,5.22,0.7,0.54,2.0,218.0,26.0,22.15384615,0.006153846,162.5,0.011627907,,,,,,85.79414563914578,1.89406863125
,,,20240728.0,115.7,2.0,93.0,5.27,2.0,1.78,2.0,204.0,26.0,22.15384615,0.006153846,162.5,0.010752688,,,,,,85.79414563914578,1.89406863125
,,,20240728.0,125.3,2.0,101.0,4.43,9.6,9.4,2.0,157.0,26.0,22.15384615,0.006153846,162.5,0.00990099,,,,,,85.79414563914578,1.89406863125
,,,20240728.0,129.7,2.0,78.0,5.18,4.4,4.24,2.0,239.0,26.0,22.15384615,0.006153846,162.5,0.012820513,,,,,,85.79414563914578,1.89406863125
,,,20240728.0,200.9,3.0,118.0,4.9,62.4,62.25,4.0,149.0,26.0,22.15384615,0.006153846,162.5,0.008474576,,,,,,85.79414563914578,1.89406863125
,,,20240728.0,213.0,3.0,76.0,3.93,12.1,11.95,2.0,186.0,26.0,22.15384615,0.006153846,162.5,0.013157895,,,,,,85.79414563914578,1.89406863125
,,,20240728.0,224.4,2.0,75.0,3.93,54.7,54.46,2.0,188.0,26.0,22.15384615,0.006153846,162.5,0.013333333,,,,,,85.79414563914578,1.89406863125
